created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,
03-12-2021,75,38,2,1,1,1,Bojonggede,SHM,1300,Barat,692550000,https://rumahdijual.com/bekasi/10799791-rumah-cluster-bhumiland-strategis-bebas-banjir-di-jati-warna.html,"Dekat tol jati warna, dekat sutle busway, dekat pusat perbelanjaan",
06-12-2021,60,40,1,1,0,1,Babakan Madang,SHM,2200,,811400000,https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/,"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo",
06-12-2021,60,50,2,2,0,1,Babakan Madang,SHM,2200,,900500000,https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/,"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo",
06-12-2021,60,70,3,2,0,1,Babakan Madang,SHM,2200,,1001900000,https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/,"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo",
06-12-2021,90,60,3,2,0,2,Babakan Madang,SHM,2200,,1200800000,https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/,"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo",
06-12-2021,120,70,3,2,0,2,Babakan Madang,SHM,2200,,1538200000,https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/,"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo",
06-12-2021,125,125,3,2,0,2,Babakan Madang,SHM,2200,,1946600000,https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/,"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo",
06-12-2021,97,72,3,2,0,1,Cibinong,SHM,2200,Selatan,1230000000,https://www.rumah123.com/properti/bogor/hos9203763/,"Berada dalam kawasan Pemda,  Hanya 5menit ke CCM, Hanya 10menit dr toll sirkuit
Babakan Madang",
06-12-2021,72,33,2,1,0,1,Gunung Putri,SHM,1300,,617000000,https://www.rumah123.com/properti/bogor/hos9150454/,Terletak dilokasi yang strategis sehingga dekat dengan segala fasilitas yang akan menunjang segala kebutuhan sehari hari.,
06-12-2021,60,30,2,1,0,1,Gunung Putri,SHM,1300,,500000000,https://www.rumah123.com/properti/bogor/hos8947550/,Rumah cantik dengan konsep villa dan dengan nuansa alami di cibubur bogor,
